日期,圭源蒙玺启航,纯达二期,new
2018-01-02,0.9995773457311918,,0.9995773457311918
2018-01-03,0.9991545127502193,,0.9991545127502193
2018-01-04,0.9987315009058876,,0.9987315009058876
2018-01-05,0.9983083100468101,,0.9983083100468101
2018-01-08,0.9978849400214078,,0.9978849400214078
2018-01-09,0.9974613906779093,,0.9974613906779093
2018-01-10,0.9970376618643502,,0.9970376618643502
2018-01-11,0.9966137534285723,,0.9966137534285723
2018-01-12,0.9961896652182245,,0.9961896652182245
2018-01-15,0.9957653970807616,,0.9957653970807616
2018-01-16,0.9953409488634442,,0.9953409488634442
2018-01-17,0.994916320413338,,0.994916320413338
2018-01-18,0.9944915115773142,,0.9944915115773142
2018-01-19,0.9940665222020486,,0.9940665222020486
2018-01-22,0.9942869807558403,,0.9942869807558403
2018-01-23,0.9945073907183708,,0.9945073907183708
2018-01-24,0.9947277521110547,,0.9947277521110547
2018-01-25,0.9949480649552935,,0.9949480649552935
2018-01-26,0.995168329272474,,0.995168329272474
2018-01-29,0.9953885450839695,,0.9953885450839695
2018-01-30,0.9956087124111379,,0.9956087124111379
2018-01-31,0.9958288312753247,,0.9958288312753247
2018-02-01,0.9960489016978598,,0.9960489016978598
2018-02-02,0.9962689237000599,,0.9962689237000599
2018-02-05,0.9964888973032278,,0.9964888973032278
2018-02-06,0.9967088225286511,,0.9967088225286511
2018-02-07,0.9969286993976045,,0.9969286993976045
2018-02-08,0.9971485279313481,,0.9971485279313481
2018-02-09,0.9973683081511284,,0.9973683081511284
2018-02-12,0.9975880400781774,,0.9975880400781774
2018-02-13,0.9978077237337135,,0.9978077237337135
2018-02-14,0.9980273591389408,,0.9980273591389408
2018-02-22,0.9970392168464508,,0.9970392168464508
2018-02-23,0.996050097162969,,0.996050097162969
2018-02-26,0.9964461367669294,,0.9964461367669294
2018-02-27,0.996842019585615,,0.996842019585615
2018-02-28,0.9972377457431142,,0.9972377457431142
2018-03-01,0.9976333153633673,,0.9976333153633673
2018-03-02,0.9980287285701684,,0.9980287285701684
2018-03-05,0.9984239854871645,,0.9984239854871645
2018-03-06,0.998819086237856,,0.998819086237856
2018-03-07,0.9992140309455971,,0.9992140309455971
2018-03-08,0.9996088197335956,,0.9996088197335956
2018-03-09,1.0000034527249135,,1.0000034527249135
2018-03-12,1.000397930042468,,1.000397930042468
2018-03-13,1.0007922518090293,,1.0007922518090293
2018-03-14,1.001186418147224,,1.001186418147224
2018-03-15,1.001580429179533,,1.001580429179533
2018-03-16,1.0019742850282922,,1.0019742850282922
2018-03-19,1.0047301905401032,,1.0047301905401032
2018-03-20,1.0074785219103428,,1.0074785219103428
2018-03-21,1.0102193206574062,,1.0102193206574062
2018-03-22,1.0129526279592418,,1.0129526279592418
2018-03-23,1.015678484657061,,1.015678484657061
2018-03-26,1.0164551836861868,,1.0164551836861868
2018-03-27,1.0172312799221204,,1.0172312799221204
2018-03-28,1.0180067742997858,,1.0180067742997858
2018-03-29,1.0187816677519366,,1.0187816677519366
2018-03-30,1.0195559612091567,,1.0195559612091567
2018-04-02,1.0200767170490614,,1.0200767170490614
2018-04-03,1.0205972018434695,,1.0205972018434695
2018-04-04,1.0211174158743854,,1.0211174158743854
2018-04-09,1.0216373594233716,,1.0216373594233716
