日期,圭源蒙玺启航,纯达二期,new
2017-09-07,1.0105494243826283,,1.0105494243826283
2017-09-08,1.0109452288552188,,1.0109452288552188
2017-09-11,1.0106814636062902,,1.0106814636062902
2017-09-12,1.0104176287668998,,1.0104176287668998
2017-09-13,1.0101537243003165,,1.0101537243003165
2017-09-14,1.0098897501697812,,1.0098897501697812
2017-09-15,1.0096257063385052,,1.0096257063385052
2017-09-18,1.0093615927696706,,1.0093615927696706
2017-09-19,1.0090974094264304,,1.0090974094264304
2017-09-20,1.0088331562719084,,1.0088331562719084
2017-09-21,1.008568833269199,,1.008568833269199
2017-09-22,1.0083044403813677,,1.0083044403813677
2017-09-25,1.0080399775714506,,1.0080399775714506
2017-09-26,1.0077754448024536,,1.0077754448024536
2017-09-27,1.0075108420373546,,1.0075108420373546
2017-09-28,1.0072461692391015,,1.0072461692391015
2017-09-29,1.0069814263706125,,1.0069814263706125
2017-10-09,1.006385597174982,,1.006385597174982
2017-10-10,1.0057894127552682,,1.0057894127552682
2017-10-11,1.0051928726876602,,1.0051928726876602
2017-10-12,1.0045959765475887,,1.0045959765475887
2017-10-13,1.003998723909723,,1.003998723909723
2017-10-16,1.0038991223160973,,1.0038991223160973
2017-10-17,1.0037995108010063,,1.0037995108010063
2017-10-18,1.0036998893624727,,1.0036998893624727
2017-10-19,1.0036002579985195,,1.0036002579985195
2017-10-20,1.0035006167071683,,1.0035006167071683
2017-10-23,1.0034009654864409,,1.0034009654864409
2017-10-24,1.003301304334358,,1.003301304334358
2017-10-25,1.0032016332489397,,1.0032016332489397
2017-10-26,1.003101952228206,,1.003101952228206
2017-10-27,1.0030022612701759,,1.0030022612701759
2017-10-30,1.0029025603728678,,1.0029025603728678
2017-10-31,1.0028028495342998,,1.0028028495342998
2017-11-01,1.0027031287524888,,1.0027031287524888
2017-11-02,1.0026033980254518,,1.0026033980254518
2017-11-03,1.002503657351205,,1.002503657351205
2017-11-06,1.0024039067277637,,1.0024039067277637
2017-11-07,1.0023041461531426,,1.0023041461531426
2017-11-08,1.0022043756253565,,1.0022043756253565
2017-11-09,1.002104595142419,,1.002104595142419
2017-11-10,1.0020048047023433,,1.0020048047023433
2017-11-13,1.0019050043031417,,1.0019050043031417
2017-11-14,1.0018051939428263,,1.0018051939428263
2017-11-15,1.0017053736194081,,1.0017053736194081
2017-11-16,1.0016055433308986,,1.0016055433308986
2017-11-17,1.0015057030753076,,1.0015057030753076
2017-11-20,1.0014058528506447,,1.0014058528506447
2017-11-21,1.0013059926549186,,1.0013059926549186
2017-11-22,1.0012061224861382,,1.0012061224861382
2017-11-23,1.0011062423423107,,1.0011062423423107
2017-11-24,1.0010063522214436,,1.0010063522214436
2017-11-27,1.003403954619046,,1.003403954619046
2017-11-28,1.005795822269036,,1.005795822269036
2017-11-29,1.0081819825394676,,1.0081819825394676
2017-11-30,1.010562462602947,,1.010562462602947
2017-12-01,1.0129372894384903,,1.0129372894384903
2017-12-04,1.0141218896359236,,1.0141218896359236
2017-12-05,1.0153050882160852,,1.0153050882160852
2017-12-06,1.0164868884918388,,1.0164868884918388
2017-12-07,1.0176672937643154,,1.0176672937643154
2017-12-08,1.0188463073229714,,1.0188463073229714
2017-12-11,1.0186500364691933,,1.0186500364691933
2017-12-12,1.0184537270856047,,1.0184537270856047
2017-12-13,1.0182573791570755,,1.0182573791570755
2017-12-14,1.0180609926684658,,1.0180609926684658
2017-12-15,1.0178645676046278,,1.0178645676046278
2017-12-18,1.01747164029618,,1.01747164029618
2017-12-19,1.0170785585351738,,1.0170785585351738
2017-12-20,1.0166853222001362,,1.0166853222001362
2017-12-21,1.0162919311694516,,1.0162919311694516
2017-12-22,1.0158983853213606,,1.0158983853213606
2017-12-25,1.0155046845339588,,1.0155046845339588
2017-12-26,1.0151108286851995,,1.0151108286851995
2017-12-27,1.0147168176528907,,1.0147168176528907
2017-12-28,1.014322651314696,,1.014322651314696
2017-12-29,1.0139283295481345,,1.0139283295481345
2018-01-02,1.0135056752793261,,1.0135056752793261
2018-01-03,1.0130828422983535,,1.0130828422983535
2018-01-04,1.012659830454022,,1.012659830454022
2018-01-05,1.0122366395949445,,1.0122366395949445
2018-01-08,1.0118132695695423,,1.0118132695695423
2018-01-09,1.0113897202260436,,1.0113897202260436
2018-01-10,1.0109659914124847,,1.0109659914124847
2018-01-11,1.0105420829767067,,1.0105420829767067
2018-01-12,1.0101179947663588,,1.0101179947663588
2018-01-15,1.0096937266288961,,1.0096937266288961
2018-01-16,1.0092692784115784,,1.0092692784115784
2018-01-17,1.0088446499614725,,1.0088446499614725
2018-01-18,1.0084198411254486,,1.0084198411254486
2018-01-19,1.0079948517501829,,1.0079948517501829
2018-01-22,1.0082153103039748,,1.0082153103039748
2018-01-23,1.008435720266505,,1.008435720266505
2018-01-24,1.008656081659189,,1.008656081659189
2018-01-25,1.008876394503428,,1.008876394503428
2018-01-26,1.0090966588206083,,1.0090966588206083
2018-01-29,1.0093168746321037,,1.0093168746321037
2018-01-30,1.0095370419592724,,1.0095370419592724
2018-01-31,1.009757160823459,,1.009757160823459
2018-02-01,1.009977231245994,,1.009977231245994
2018-02-02,1.0101972532481942,,1.0101972532481942
2018-02-05,1.010417226851362,,1.010417226851362
2018-02-06,1.0106371520767854,,1.0106371520767854
2018-02-07,1.0108570289457388,,1.0108570289457388
2018-02-08,1.0110768574794826,,1.0110768574794826
2018-02-09,1.011296637699263,,1.011296637699263
2018-02-12,1.0115163696263116,,1.0115163696263116
2018-02-13,1.0117360532818478,,1.0117360532818478
2018-02-14,1.0119556886870753,,1.0119556886870753
2018-02-22,1.010967546394585,,1.010967546394585
2018-02-23,1.0099784267111034,,1.0099784267111034
2018-02-26,1.0103744663150638,,1.0103744663150638
2018-02-27,1.0107703491337494,,1.0107703491337494
2018-02-28,1.0111660752912486,,1.0111660752912486
2018-03-01,1.0115616449115017,,1.0115616449115017
2018-03-02,1.0119570581183028,,1.0119570581183028
2018-03-05,1.0123523150352989,,1.0123523150352989
2018-03-06,1.0127474157859904,,1.0127474157859904
2018-03-07,1.0131423604937315,,1.0131423604937315
2018-03-08,1.01353714928173,,1.01353714928173
2018-03-09,1.013931782273048,,1.013931782273048
2018-03-12,1.0143262595906022,,1.0143262595906022
2018-03-13,1.0147205813571636,,1.0147205813571636
2018-03-14,1.0151147476953586,,1.0151147476953586
2018-03-15,1.0155087587276674,,1.0155087587276674
2018-03-16,1.0159026145764267,,1.0159026145764267
2018-03-19,1.0186585200882377,,1.0186585200882377
2018-03-20,1.0214068514584773,,1.0214068514584773
2018-03-21,1.0241476502055407,,1.0241476502055407
2018-03-22,1.026880957507376,,1.026880957507376
2018-03-23,1.0296068142051953,,1.0296068142051953
2018-03-26,1.0303835132343213,,1.0303835132343213
2018-03-27,1.0311596094702546,,1.0311596094702546
2018-03-28,1.0319351038479203,,1.0319351038479203
2018-03-29,1.0327099973000708,,1.0327099973000708
2018-03-30,1.033484290757291,,1.033484290757291
2018-04-02,1.0340050465971957,,1.0340050465971957
2018-04-03,1.034525531391604,,1.034525531391604
2018-04-04,1.0350457454225197,,1.0350457454225197
2018-04-09,1.035565688971506,,1.035565688971506
2018-04-10,1.0360853623196868,,1.0360853623196868
2018-04-11,1.0366047657477495,,1.0366047657477495
2018-04-12,1.037123899535943,,1.037123899535943
2018-04-13,1.0376427639640804,,1.0376427639640804
2018-04-16,1.038161359311539,,1.038161359311539
2018-04-17,1.038679685857263,,1.038679685857263
2018-04-18,1.0391977438797615,,1.0391977438797615
2018-04-19,1.0397155336571118,,1.0397155336571118
2018-04-20,1.0402330554669594,,1.0402330554669594
2018-04-23,1.040112978617776,,1.040112978617776
2018-04-24,1.0399928873484114,,1.0399928873484114
2018-04-25,1.0398727816554014,,1.0398727816554014
2018-04-26,1.0397526615352812,,1.0397526615352812
2018-04-27,1.0396325269845845,,1.0396325269845845
2018-05-02,1.0395123779998434,,1.0395123779998434
2018-05-03,1.0393922145775893,,1.0393922145775893
2018-05-04,1.0392720367143518,,1.0392720367143518
2018-05-07,1.0390797290220442,,1.0390797290220442
2018-05-08,1.0388873843403745,,1.0388873843403745
2018-05-09,1.0386950026551107,,1.0386950026551107
2018-05-10,1.0385025839520128,,1.0385025839520128
2018-05-11,1.0383101282168319,,1.0383101282168319
2018-05-14,1.0390800993429146,,1.0390800993429146
2018-05-15,1.0398494780695928,,1.0398494780695928
2018-05-16,1.0406182653077245,,1.0406182653077245
2018-05-17,1.041386461966069,,1.041386461966069
2018-05-18,1.0421540689512925,,1.0421540689512925
2018-05-21,1.042345823505463,,1.042345823505463
2018-05-22,1.042537541296874,,1.042537541296874
2018-05-23,1.0427292223396192,,1.0427292223396192
2018-05-24,1.0429208666477832,,1.0429208666477832
2018-05-25,1.0431124742354436,,1.0431124742354436
2018-05-28,1.0438787577603477,,1.0438787577603477
2018-05-29,1.0446444545444213,,1.0446444545444213
2018-05-30,1.0454095654855078,,1.0454095654855078
2018-05-31,1.0461740914793918,,1.0461740914793918
2018-06-01,1.0469380334198042,,1.0469380334198042
2018-06-04,1.0475105525037736,,1.0475105525037736
2018-06-05,1.0480827439971934,,1.0480827439971934
2018-06-06,1.0486546082747383,,1.0486546082747383
2018-06-07,1.0492261457104404,,1.0492261457104404
2018-06-08,1.0497973566776908,,1.0497973566776908
2018-06-11,1.0505585365064252,,1.0505585365064252
2018-06-12,1.0513191373811164,,1.0513191373811164
2018-06-13,1.0520791601818003,,1.0520791601818003
2018-06-14,1.052838605786509,,1.052838605786509
2018-06-15,1.0535974750712744,,1.0535974750712744
2018-06-19,1.0533605082466297,,1.0533605082466297
2018-06-20,1.0531234852554,,1.0531234852554
2018-06-21,1.0528864060709524,,1.0528864060709524
2018-06-22,1.0526492706666364,,1.0526492706666364
2018-06-25,1.0539775439114183,,1.0539775439114183
2018-06-26,1.055304055186764,,1.055304055186764
2018-06-27,1.056628809161026,,1.056628809161026
2018-06-28,1.0579518104840275,,1.0579518104840275
2018-06-29,1.0592730637871606,,1.0592730637871606
2018-07-02,1.060592573683485,,1.060592573683485
2018-07-03,1.0619103447678224,,1.0619103447678224
2018-07-04,1.0632263816168543,,1.0632263816168543
2018-07-05,1.0645406887892164,,1.0645406887892164
2018-07-06,1.0658532708255937,,1.0658532708255937
2018-07-09,1.0637933457319606,,1.0637933457319606
2018-07-10,1.0617291685880312,,1.0617291685880312
2018-07-11,1.0596607218035254,,1.0596607218035254
2018-07-12,1.0575879876787848,,1.0575879876787848
2018-07-13,1.0555109484038603,,1.0555109484038603
2018-07-16,1.0507805794350809,,1.0507805794350809
2018-07-17,1.0460277277240542,,1.0460277277240542
2018-07-18,1.0412521785358977,,1.0412521785358977
2018-07-19,1.0364537140445347,,1.0364537140445347
2018-07-20,1.0316321132730786,,1.0316321132730786
2018-07-23,1.0372522683118386,,1.0372522683118386
2018-07-24,1.0428410137348485,,1.0428410137348485
2018-07-25,1.0483986986716056,,1.0483986986716056
2018-07-26,1.0539256664627246,,1.0539256664627246
2018-07-27,1.0594222547872127,,1.0594222547872127
2018-07-30,1.0801574103008789,,1.0801574103008789
2018-07-31,1.100471353052495,,1.100471353052495
2018-08-01,1.1203808553149384,,1.1203808553149384
2018-08-02,1.1399017071339266,,1.1399017071339266
2018-08-03,1.1590487915551626,,1.1590487915551626
2018-08-06,1.158024026397178,,1.158024026397178
2018-08-07,1.1569982100183096,,1.1569982100183096
2018-08-08,1.1559713402596241,,1.1559713402596241
2018-08-09,1.1549434149555295,,1.1549434149555295
2018-08-10,1.1539144319337493,,1.1539144319337493
2018-08-13,1.1630131443801013,,1.1630131443801013
2018-08-14,1.172029816717631,,1.172029816717631
2018-08-15,1.18096591518332,,1.18096591518332
2018-08-16,1.1898228670549778,,1.1898228670549778
2018-08-17,1.198602062019364,,1.198602062019364
2018-08-20,1.197945247569446,,1.197945247569446
