,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof
2018-01-02,,,,-0.00015156107911484806,,,0.0015942458846212038,0.0005667451390705125,0.0006066275922455865
2018-01-03,0.00011111111111117289,,,-0.00015158405335757852,,,0.001591708310197948,0.0005664241209533127,0.0004495408486570625
2018-01-04,0.00011109876680359676,,,-0.00015160703456640334,,,0.0015891788010937713,0.0005661034662949316,0.0004489308682918093
2018-01-05,0.00011108642523893764,,,-0.00015163002274454218,,,0.001586657318918272,0.0005657831744787511,0.0004483226532262636
2018-01-08,0.0001110740864156412,,-0.0007387184840211836,5.6617126680924557e-05,,0.00038240917781995343,0.0016651930445032992,-0.0010265332753370826,9.806035722063182e-05
2018-01-09,0.00011106175033304133,,-0.0007392645924402252,5.661392136313559e-05,,0.00038226299694166244,0.0016624247863123998,-0.0010275881287445943,9.742435693014555e-05
2018-01-10,0.00011104941699069393,,-0.0007398115088939061,5.6610716408611594e-05,,0.00038211692777978534,0.0016596657168874707,-0.0010286451522919515,9.67892370162892e-05
2018-01-11,0.00011103708638682264,,-0.0007403592351766797,5.660751181668644e-05,,0.00038197097020598036,0.0016569157905541587,-0.001029704352682459,9.615498998001138e-05
2018-01-12,0.00011102475852098337,,-0.0007409077730888836,5.6604307587804215e-05,,0.0003818251240927939,0.0016541749619392032,-0.001030765736648065,9.552160835967945e-05
2018-01-15,0.00011101243339250999,,0.0007736943907161731,-7.075137965184553e-05,,0.0009541984732817088,-0.0016952868103764507,0.002256033578174277,0.00039225079916696835
2018-01-16,0.0003330003330002107,,0.000773096250483718,-7.075638576381493e-05,,0.0009532888465197953,-0.0016981656882694152,0.0022509553473277766,0.000436810234016182
2018-01-17,0.0003328894806926552,,0.0007724990343767058,-7.076139258421765e-05,,0.0009523809523803717,-0.0017010543604183415,0.002245899926877737,0.00043542048409867163
2018-01-18,0.00033277870216297245,,0.0007719027402552925,-7.076640011316471e-05,,0.0009514747859173944,-0.001703952876889292,0.0022408671634790434,0.00043403300121712255
2018-01-19,-0.0007485029940119681,,0.0007713073659858516,-7.077140835098916e-05,,0.0009505703422045819,-0.001706861288091721,0.002235856905158151,0.00020895720619344362
2018-01-22,-0.0007490636704120535,,0.0004335260115591044,-0.0005803666218416881,,0.0009496676163345263,-0.00017687375635644376,0.0023000432338953214,0.00029408870767994223
2018-01-23,-0.0007496251874061777,,0.0004333381482002352,-0.0005807036428531198,,0.0009487666034160291,-0.00017690504621648007,0.0022947651747817766,0.0002929697720295047
2018-01-24,-0.0007501875468867159,,0.0004331504475871828,-0.0005810410555106005,,0.0009478672985785419,-0.00017693634714910367,0.002289511284019774,0.0002918543024285988
2018-01-25,-0.0010010010010009784,,0.00043296290950944893,-0.0005813788604974723,,0.0009469696969699459,-0.00017696765916030976,0.0022842813959880193,0.0002389663606439682
2018-01-26,0.0006262525050100276,,0.000432775533754981,-0.0005817170584980769,,0.0009460737937561081,-0.00017699898225587152,0.002279075346573567,0.0005746475893930046
2018-01-29,0.0006258605582676324,,0.0019386365457028099,0.00046848381601360956,,0.0009451795841213251,0.0026554547466253187,0.002940673619422185,0.0014450937786690708
2018-01-30,0.0006254691018263703,,0.0019348855059493353,0.00046826444170111614,,0.000944287063267657,0.0026484219819025157,0.0029320514131805364,0.0014421136139034238
2018-01-31,0.0006250781347667544,,0.0019311489538285098,0.0004680452727425788,,0.0009433962264153717,0.0026414263702398966,0.002923479620627667,0.0014391480106755153
2018-02-01,0.0006246876561719628,,0.0019274268055695654,0.00046782630885044973,,0.0009425070688031667,0.002634467618002123,0.002914957800901563,0.0014361968548964148
2018-02-02,0.0006242976651265053,,0.001923718978044775,0.00046760754973629304,,0.0009416195856877252,0.002627545434639833,0.002906485518266999,0.0014332600337025269
2018-02-05,0.000623908160718667,,-0.00023801967629233367,-0.0010055945046384407,,-0.0011288805268101498,-0.0007279609812913534,-0.0016006739679865767,-0.0006318767317938674
2018-02-06,0.0006235191420378428,,-0.0002380763431466537,-0.0010066067428473602,,-0.0011301563382924984,-0.0007284912945291211,-0.0016032402328917117,-0.0006328306335874028
2018-02-07,0.000664672648720499,,-0.0002381330369890522,-0.0010076210209613023,,-0.0011314350367709336,-0.0007290223809870433,-0.0016058147396890154,-0.0006251917263368815
2018-02-08,0.0006642311524411859,,-0.00023818975783973517,-0.0010086373451528852,,-0.001132716632054942,-0.0007295542423579882,-0.0016083975281470098,-0.0006261608867870999
2018-02-09,0.0006637902422834685,,-0.00023824650571702133,-0.0010096557216193736,,-0.0011340011340004175,-0.0007300868803387095,-0.001610988638290678,-0.0006271321398546274
2018-02-12,0.0019900497512437276,,-0.0011279688617054084,-0.0014661921708184478,,0.0026490066225168807,0.0008767443559583032,-0.0014437367303609117,0.0004732252566910119
2018-02-13,0.0009930486593843213,,-0.001129242612209258,-0.001468345046830244,,0.0026420079260238705,0.000875976348638563,-0.0014458241197482513,0.0002645604394835223
2018-02-14,0.001984126984126977,,-0.0011305192427119026,-0.0014705042544687075,,0.0026350461133071157,0.0008752096856539104,-0.0014479175538708589,0.0004672278920188142
2018-02-22,0.001980198019801982,,-0.0011317987629925197,-0.0014726698217067957,,0.0026281208935610145,0.0026962034540551905,-0.0014500170590242556,0.0007153143068895744
2018-02-23,-0.000988142292490224,,-0.0011330811828736964,-0.0014748417766831112,,0.002621231979030414,0.002688953488372059,-0.0014521226616553973,9.790785555853254e-05
2018-02-26,0.0029673590504453173,,-0.00039942482824728565,0.0009751200975121055,,-0.0003734827264235685,7.247952453437456e-05,0.0010094097519246503,0.0007989212491219993
