,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof,沪深300,组合基金
2019-01-07,1.0983389495219098,1.0395829604450455,1.1644257159315532,1.0757987106587223,1.0767230058280477,1.1137657379205042,1.1210178965780249,1.1545138453244514,1.1232499409801748,0.7312137817582975,0.9416505179744358
2019-01-08,1.097976367941054,1.040156245367652,1.162258056322278,1.0759167449935987,1.0768165970679076,1.1137286349225821,1.1226740262293178,1.151567301904068,1.1229566268907547,0.7290528938298032,0.9417046217454687
2019-01-09,1.0976136548471112,1.0407292018229617,1.1600856877574084,1.0760347653980153,1.0769101795492673,1.113691530547976,1.1243274176500533,1.1486120507077164,1.1226616252654422,0.7391523130639798,0.9420292268093077
2019-01-10,1.097250810144644,1.0413018301871533,1.1579085897332284,1.0761527718752597,1.0770037532737653,1.1136544247965847,1.1259780798800194,1.1456480401155162,1.1223649298385685,0.7372715147479277,0.9422455599623633
2019-01-11,1.09748607263036,1.0418741308357606,1.155726741611814,1.0762707644286187,1.0770973182430408,1.1136173176683055,1.1276260219143124,1.1426752180472166,1.1221562701142624,0.7444606552079157,0.9438677076859493
2019-01-14,1.0977212797806577,1.0422554463743687,1.1576245618689822,1.0763887430613772,1.0776630534789504,1.113580209163036,1.1269731525534712,1.1451725693412986,1.1227028766944323,0.7357362870783556,0.9435977875823
2019-01-15,1.0979564316215606,1.0426366165668597,1.1595187872268944,1.0765067077768202,1.0781310534789488,1.1135430992806743,1.1263198566757684,1.1476636994084837,1.1232362100612567,0.7553628574321617,0.9447317580990665
2019-01-16,1.098191528179075,1.0430176415239945,1.1614094312789003,1.0766246585782304,1.0782123790863505,1.1135059880211182,1.1256661337235556,1.1501486391675197,1.1237201572365052,0.7555738555491635,0.9454329447225832
2019-01-17,1.0984265694791895,1.0433985213564072,1.163296507541395,1.0767425954688896,1.0782936980804354,1.1134688753842656,1.1250119831380907,1.1526274193072328,1.1242030560781235,0.7500666879209532,0.9452173461670936
2019-01-18,1.0986615555478725,1.0437792561746062,1.165180029454398,1.0768605184520792,1.0783750104622796,1.1134317613700138,1.1243574043595346,1.1551000702888004,1.1246849109412487,0.7683059484515149,0.9486676669391028
2019-01-21,1.0988964864110753,1.0449210259177082,1.1665150883740898,1.0768474174433016,1.0784563162329577,1.1133946459782609,1.1239119992373756,1.154472220673732,1.1249205547369157,0.7738201727513472,0.9496347329682222
2019-01-22,1.0991313620947314,1.0460614935094206,1.1678483672878757,1.076834316262885,1.078537615393545,1.1133575292089044,1.1234663956410924,1.1538439766158737,1.1251557565863033,0.7605355580428429,0.9493126890629031
2019-01-23,1.0993661826247547,1.0472006619164835,1.1691798709359238,1.0768212149108258,1.0788424624619322,1.1133204110618424,1.1230205933937247,1.1532153376193013,1.1254184616597587,0.7598133916709813,0.9492589977877354
2019-01-24,1.099600948027042,1.0483385340955087,1.1705096040394938,1.0768081133871186,1.0786392930186137,1.1132832915369724,1.1225745923180752,1.1525863031871548,1.125617225256924,0.7654580009576848,0.9496885510523402
2019-01-25,1.0998356583274713,1.0494751129930273,1.1718375713010354,1.0767950116917593,1.0792886481328177,1.1132461706341918,1.1221283922367093,1.1519568728216356,1.1259221158600206,0.7735908877050999,0.9523184351227568
2019-01-28,1.1000703135519019,1.0489074687167739,1.1763574982243719,1.0771356602341764,1.0783752207502961,1.113209048353399,1.118714750800354,1.15300658415102,1.1260106014867517,0.7733742111466774,0.9526396170723314
2019-01-29,1.1003049137261764,1.0483395020374857,1.1808570873337492,1.07747619277468,1.0782736360286367,1.113171924694491,1.1152894165009009,1.1540551947419866,1.126197182979608,0.7765748091779482,0.9526931302098066
2019-01-30,1.100539458876118,1.0477712125887264,1.1853365208329372,1.0778166093922485,1.0785784211551186,1.1131347996573662,1.1118523089590937,1.15510270690061,1.1264311866088232,0.7685941456150469,0.9526931302098066
2019-01-31,1.1007739490275315,1.0472026000034345,1.1897959784881165,1.0781569101657782,1.0790862415898128,1.1130976732419218,1.108403346964002,1.156149122925724,1.1266872056009731,0.7790565755499053,0.9533887637714503
2019-02-01,1.1010083842062044,1.046633663913922,1.1942356376711654,1.0784970951740864,1.0803043920313962,1.1130605454480553,1.104942448461506,1.1571944451089538,1.127028661512882,0.7933524186048491,0.9556346329763058
2019-02-11,1.101242764437906,1.048720950441436,1.1912316014109925,1.0787717665494054,1.0775668882293037,1.114597693185033,1.1083218647441482,1.1544645279015249,1.1270641759154683,0.8115423551694854,0.9568617577695618
2019-02-12,1.101477089748387,1.0508038892787774,1.1882185137261594,1.0790463625010762,1.0750252046180793,1.1161324817252791,1.1116898990368609,1.1517271378458795,1.1271203535164578,0.8187615345360002,0.9578742271290418
2019-02-13,1.1017113601633803,1.0528824985002438,1.1851963199063462,1.0793208830705106,1.0730886028445612,1.117664918299433,1.1150466277521494,1.148982233917517,1.1272483538942506,0.8387865169702262,0.9587792045046074
2019-02-14,1.1019455757086005,1.0549567960676585,1.1821649647436951,1.0795953282990842,1.0730630717988092,1.119195010104942,1.1183921265356043,1.1462297747531818,1.1276114273504718,0.8402907721578459,0.9590983194923747
2019-02-15,1.1021797364097448,1.0570267998313017,1.1791243925267567,1.0798696982281402,1.0730375401012062,1.1207227643062667,1.1217264702761318,1.1434697186471232,1.1279706914710732,0.8216436853242647,0.963085984315854
2019-02-18,1.1024138422924912,1.0581535603946821,1.179608068463879,1.0814501579982552,1.0730120077517191,1.1214007304079612,1.1227116272444755,1.1454055928153022,1.1288113529881894,0.8537040681079829,0.9645158418596763
2019-02-19,1.1026478933825006,1.0592790527976084,1.1800915105716867,1.083028123856812,1.0729864747503144,1.1220782371830285,1.1236958146337543,1.147337726615568,1.129650940965269,0.851925059825292,0.965044662589449
2019-02-20,1.1028818897054151,1.0604032798914813,1.1805747190761569,1.0846036036620252,1.0728843401368917,1.1227552852534408,1.124679034350587,1.14926613447383,1.1304798834452794,0.8555068612504534,0.965520349693043
2019-02-21,1.10311583128686,1.0615262445180955,1.1810576942029378,1.086176605235027,1.0715564545393468,1.1234318752399086,1.1256612882959738,1.1511908307327017,1.1311545399044944,0.8528358916769105,0.965520349693043
2019-02-22,1.103349718152442,1.0626479495096828,1.1815404361773525,1.0877471363600986,1.0714541736760945,1.1241080077618824,1.1266425783653182,1.1531118296521397,1.1319813329404131,0.8753210850274977,0.972599434694892
2019-02-25,1.1035835503277496,1.0625545788280768,1.183256023900177,1.0897946967825698,1.0730311736760978,1.1247836834375575,1.1283548847505218,1.1557631178486647,1.1331647417990842,0.9347963301895945,0.9752223167176587
2019-02-26,1.0999766973070102,1.0624611994275726,1.184968673422508,1.091838073268221,1.0746056906628132,1.1254589028838773,1.1300642641544572,1.158407395303585,1.13376985717501,0.9227866130172273,0.9753269575380429
2019-02-27,1.1022391407459242,1.0623678113065416,1.186678394791353,1.0938772828809,1.075076206655373,1.1261336667165354,1.1317707265666916,1.16104469899581,1.1351154944955766,0.9210768355325542,0.9751700127303002
2019-02-28,1.1044964770890395,1.062274414463355,1.1883851980022757,1.0959123425802781,1.075484725366521,1.1268079755499807,1.1334742819257386,1.1636750656124453,1.1364507515655589,0.9186246757561303,0.9766350608675962
2019-03-01,1.1062982788908413,1.062181008896383,1.190089092999746,1.0979432692226934,1.0755982671120363,1.1274818299974194,1.135174940119406,1.1662985315518537,1.137678949629445,0.9405194424326988,0.9836361057996756
2019-03-04,1.10899612061746,1.0620875946039963,1.18755088701968,1.0994441351068573,1.0788248766823223,1.1288286313442215,1.1349416586264045,1.165677643090031,1.1385233307849174,0.9523576912572744,0.9849850733206884
2019-03-05,1.122449035415666,1.0619941715845644,1.18500622215604,1.1009427517684007,1.080012103079249,1.130173621256798,1.1347083227004497,1.1650563688862234,1.1407248059215886,0.9581324467987731,0.9860731562222429
2019-03-06,1.1242189469200907,1.0619007398364566,1.1824550654535773,1.1024391259386803,1.0808667649524062,1.1315168046013253,1.1344749323161336,1.16443470846083,1.1411310141409277,0.9665391333640598,0.9865389706210836
