净值日期,产品2,产品1,产品6,new
2017-09-26,,,,
2017-09-27,,1.0035627864011718,,1.0035627864011718
2017-09-28,,1.007112924418892,,1.007112924418892
2017-09-29,,1.0106505035424749,,1.0106505035424749
2017-10-09,,1.0126188751142047,,1.0126188751142047
2017-10-10,,1.0145833798107369,,1.0145833798107369
2017-10-11,,1.016544032795273,,1.016544032795273
2017-10-12,,1.0185008491419987,,1.0185008491419987
2017-10-13,,1.0204538438367805,,1.0204538438367805
2017-10-16,,1.022048369171132,,1.022048369171132
2017-10-17,,1.0236403560420857,,1.0236403560420857
2017-10-18,,1.0252298125191959,,1.0252298125191959
2017-10-19,,1.0268167466335991,,1.0268167466335991
2017-10-20,,1.0284011663782582,,1.0284011663782582
2017-10-23,,1.0308339366401265,,1.0308339366401265
2017-10-24,,1.033260802893943,,1.033260802893943
2017-10-25,,1.0356817937268064,,1.0356817937268064
2017-10-26,,1.0380969375186895,,1.0380969375186895
2017-10-27,,1.0405062624444357,,1.0405062624444357
2017-10-30,,1.0406841099511868,,1.0406841099511868
2017-10-31,,1.0408619258338268,,1.0408619258338268
2017-11-01,,1.0410397101036,,1.0410397101036
2017-11-02,,1.0412174627717445,,1.0412174627717445
2017-11-03,,1.0413951838494935,,1.0413951838494935
2017-11-06,,1.0421863754129814,,1.0421863754129814
2017-11-07,,1.042976941487261,,1.042976941487261
2017-11-08,,1.043766883060532,,1.043766883060532
2017-11-09,,1.0445562011186544,,1.0445562011186544
2017-11-10,,1.0453448966451553,,1.0453448966451553
2017-11-13,,1.0468124100551224,,1.0468124100551224
2017-11-14,,1.0482777730252801,,1.0482777730252801
2017-11-15,,1.0497409918487568,,1.0497409918487568
2017-11-16,,1.0512020727910958,,1.0512020727910958
2017-11-17,,1.0526610220904178,,1.0526610220904178
2017-11-20,,1.05183565031744,,1.05183565031744
2017-11-21,,1.0510095967431587,,1.0510095967431587
2017-11-22,,1.0501828602402346,,1.0501828602402346
2017-11-23,,1.0493554396785283,,1.0493554396785283
2017-11-24,,1.0485273339250947,,1.0485273339250947
2017-11-27,,1.04948665981415,,1.04948665981415
2017-11-28,,1.0504450662790714,,1.0504450662790714
2017-11-29,1.0001533098258266,1.0514025550805353,,1.050899943220762
2017-11-30,1.0003065961513535,1.0523591279741658,,1.0513544620093278
2017-12-01,1.0004598589837839,1.0533147867105532,,1.051808623305742
2017-12-04,1.000551808227801,1.0554772676762048,,1.052677021945372
2017-12-05,1.0006437490179323,1.05763508240857,,1.053543665463841
2017-12-06,1.0007356813557318,1.059788251002023,,1.0544085613975105
2017-12-07,1.0008276052427534,1.0619367934214168,,1.0552717172341717
2017-12-08,1.0009195206805506,1.0640807295031944,,1.0561331404134617
2017-12-11,1.001211167204963,1.0651418580587586,,1.0567133426995559
2017-12-12,1.0015027286964797,1.0662018618140692,,1.0572930700399954
2017-12-13,1.0017942052046709,1.0672607431511858,,1.0578723233590337
2017-12-14,1.0020855967790636,1.0683185044446097,,1.058451103578063
2017-12-15,1.0023769034691412,1.069375148061315,,1.059029411615626
2017-12-18,1.002468676605947,1.072246491143909,,1.0601635234821023
2017-12-19,1.002560441321217,1.0751096132207327,,1.0612945472079551
2017-12-20,1.0026521976164968,1.0779645612328748,,1.0624225003970582
2017-12-21,1.0027439454933313,1.080811381720525,,1.0635474005029486
2017-12-22,1.0028356849532651,1.0836501208275262,,1.0646692648305325
2017-12-25,1.0031267732646738,1.0840943551330102,,1.0650177828897196
2017-12-26,1.0034177768683348,1.0845383921820044,,1.0653661740353804
2017-12-27,1.0037086958135346,1.0849822321496088,,1.065714438363982
2017-12-28,1.003999530149516,1.0854258752106918,,1.0660625759718765
2017-12-29,1.0042902799254791,1.0858693215398876,,1.066410586955302
2018-01-02,1.0051508351577048,1.087069457279063,,1.0673984848776337
2018-01-03,1.0060106504713635,1.0882681544189605,,1.0683853808761319
2018-01-04,1.006869727137749,1.0894654164043405,,1.0693712770371402
2018-01-05,1.0077280664248807,1.0906612466676049,,1.070356175440322
2018-01-08,1.007620886565167,1.0905277909528621,,1.0702391421349724
2018-01-09,1.0075136952166999,1.0903943174253141,,1.07012209496935
2018-01-10,1.0074064923770158,1.0902608260802056,,1.0700050339401317
2018-01-11,1.0072992780436507,1.0901273169127785,,1.0698879590439934
2018-01-12,1.0071920522141398,1.0899937899182737,,1.0697708702776096
2018-01-15,1.007481875064885,1.0908154855853844,,1.070260145434492
2018-01-16,1.0077716139426827,1.091636506623066,,1.0707491151222461
2018-01-17,1.008061268896179,1.0924568541381794,,1.0712377797863488
2018-01-18,1.0083508399739785,1.093276529234864,,1.07172613987123
2018-01-19,1.0086403272246427,1.0940955330145463,,1.0722141958202762
2018-01-22,1.0083348843920372,1.0951738612656883,,1.072427667144076
2018-01-23,1.0080293482356026,1.0962510279775337,,1.0726406445632464
2018-01-24,1.0077237186982941,1.097327035649733,,1.0728531289795034
2018-01-25,1.007417995723014,1.098401886773876,,1.073065121291507
2018-01-26,1.0071121792526128,1.0994755838335277,,1.0732766223948755
2018-01-29,1.0093827631057102,1.1015547201933222,,1.0754754134379843
2018-01-30,1.0116482030873652,1.1036295427141734,,1.077669371871838
2018-01-31,1.0139085224511626,1.1057000692599175,,1.0798585189288652
2018-02-01,1.01616374429336,1.1077663175836572,,1.082042875701641
2018-02-02,1.0184138915543064,1.1098283053286753,,1.0842224631441142
2018-02-05,1.0206589870198404,1.1110812318650762,,1.0860954952612234
2018-02-06,1.0228990533226754,1.1123325905409853,,1.0879647962039611
