净值日期,桃花岛量化对冲二号,泓倍期权套利1号,格量稳健一号,玉数,天演6号,品赋火炬,明汯,歆享富诚三期,fof,沪深300,组合基金
2017-06-30,,,,,,,,0.9969801085212223,0.9969801085212223,1.06301872780646,1.0074994016813708
2017-07-03,,,,,,,,0.997381151232271,0.997381151232271,1.0586498821951638,1.0074994016813708
2017-07-04,,,,,,,,0.9977820331725397,0.9977820331725397,1.0501222107715649,1.0075517933615719
2017-07-05,,,,,,,,0.9981827544708767,0.9981827544708767,1.0609701537611158,1.0077613161733678
2017-07-06,,,,,,,,0.9985833152559759,0.9985833152559759,1.0610849047242041,1.0079184335924525
2017-07-07,,,,,,,,0.9989837156563762,0.9989837156563762,1.0599442920757125,1.0088079736479179
2017-07-10,,,,,,,,0.9997838756883827,0.9997838756883827,1.0593312132430803,1.0089126144683018
2017-07-11,,,,,,,,1.0005833959762098,1.0005833959762098,1.0639950340346769,1.0088079626970707
2017-07-12,,,,,,,,1.0013822775420176,1.0013822775420176,1.060718021227269,1.0090172224407274
2017-07-13,,,,,,,,1.0021805214055182,1.0021805214055182,1.0683395589877844,1.0091741426206626
2017-07-14,,,,,,,,1.0029781285839827,1.0029781285839827,1.0727061825373068,1.0097491857488972
2017-07-17,,,,,,,1.0,1.0031774906254498,1.0030778096047162,1.061916131330284,1.0090167766460985
2017-07-18,,,,,,,1.0,1.0033768129296157,1.003177470756799,1.0629032658587227,1.009121395571662
2017-07-19,,,,,,,1.0,1.003576095512318,1.0032771120481503,1.07967918917798,1.0096442167145492
2017-07-20,,,,,,,1.0,1.0037753383893853,1.0033767334866839,1.0845165905889111,1.0098533014461366
2017-07-21,,,,,,,1.0,1.0039745415766363,1.0034763350803095,1.0793457489861646,1.010166830212401
2017-07-24,,,,,1.0008793141349748,,1.0,1.0039745415766363,1.0037694397919676,1.0833179993314326,1.0103235700243132
2017-07-25,,,,,1.001757855755884,,1.0,1.0039745415766363,1.0040622869989375,1.0768898196542664,1.010271320690492
2017-07-26,,,,,1.002635626218908,,1.0,1.0039745415766363,1.0043548771532786,1.0730656607937956,1.0101668111017372
2017-07-27,,,,,1.0035126268766583,,1.0,1.0039745415766363,1.0046472107058622,1.0748974635840622,1.0102713097693792
2017-07-28,,,,,1.0043888590781918,,1.0,1.0039745415766363,1.0049392881063735,1.0775036663466373,1.0114716020144476
2017-07-31,,,,,1.0042494390654448,,1.0006795379142184,1.0055656314732155,1.0056496907057235,1.0817788284041727,1.0121495681161425
2017-08-01,,,,,1.0041099996120475,,1.0013586143702382,1.0071541938242878,1.0063590904902884,1.090401301470548,1.0124102563330353
2017-08-02,,,,,1.0039705407125776,,1.002037229994365,1.0087402366474438,1.0070674903395596,1.087867299848574,1.0125145207475905
2017-08-03,,,,,1.0038310623616102,,1.00271538541163,1.0103237679221866,1.0077748931199062,1.0790095997925093,1.0123059484251378
2017-08-04,,,,,1.0036915645537186,,1.0033930812457938,1.0119047955901708,1.0084813016846583,1.073547816095327,1.0128791935134696
2017-08-07,,,,,1.0053031520668996,,1.0034130130789245,1.010519479936104,1.0085633695820733,1.0787023861140292,1.013087602829366
2017-08-08,,,,,1.0069121465446718,,1.0034329445147852,1.0091322425203288,1.0086439324146925,1.0801546087917457,1.0131397024438287
